Host	TOI	URL	Cluster/	Age	Age_median	Age-dating method	exofop url	Discovery Ref.	Nplanets	multi?	Mass ref.	spec inst	Nplanet with mass	Atm ref.	TTV ref	Obliq. ref	RM/DT instrument	exofop_url_json	RA	DEC	TESS	Host Teff	Host radius	Host radius err	Host mass	Vsini	amenable for RM	distance	sectors	Kepler/K2 era?	Prot	LiEW	logR'_HK	B-V	Is Tmag<13?	Is in South?	Is <100 pc?	South & <100pc?
K2-198		https://exoplanetarchive.ipac.caltech.edu/overview/K2-198	field	200-500	350	Li, Xray, etc	https://exofop.ipac.caltech.edu/tess/target.php?id=K2-198	Pope+16, Kruse+18; Hedges+19	3	1				Ketzer+2024				https://exofop.ipac.caltech.edu/tess/target.php?id=K2-198&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TOI-2048	TOI-2048	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2048	Group X	250-350	300		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2048	Newton+2022	1	0				Orell-Miquel+2024				https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2048&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
Kepler-1561		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1561	field	342-500	421	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1561	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1561&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TOI-1027	TOI-1027	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1027	field; Argus?	100-500	300	still candidate	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1027	Sun+2022	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1027&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-4562	TOI-4562	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4562	field	300-400	350		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-4562	Heitzmann+2023	1	0	Heitzmann+2023		1		Famiano+2024			https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-4562&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0	3.86+0.05-0.08	84 ± 7	−4.503	0.52 ± 0.03 	Loading...	Loading...	Loading...	Loading...
HD18599	TOI-179 A	https://exoplanetarchive.ipac.caltech.edu/overview/HD18599	field	300-500	400		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-179A	de Leon+2023	1	0	Desidera+2023		1					https://exofop.ipac.caltech.edu/tess/target.php?id=HD18599&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
											Vines+2023									Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
TOI-5734	TOI-5734	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5734		500	500			Filomeno+																														
Kepler-1629		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1629	field	467-581	524	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1629	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1629&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	1					Loading...	Loading...	Loading...	Loading...
Qatar-4			field	350–500	420	gyro+Li		Zak+2025																														
TOI-1683	TOI-1683	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1683	field	350-650	500	gyro	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1683	Zhang+2023	1	0				Zhang+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1683&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
HD63433	TOI-1726	https://exoplanetarchive.ipac.caltech.edu/overview/HD63433	U Major	400-450	425		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1726	Mann+2020	3	1	Mallorquin+2023		1	Damasso+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=HD63433&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
								Capistrant+2024						Orell-Miquel+2024						Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
HD73583	TOI-560	https://exoplanetarchive.ipac.caltech.edu/overview/HD73583	field	480-750	615		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-560	Zhang+2022	2	1	Baraggan+2022		2	Zhang+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=HD73583&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
														El Mufti+2023						Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
HD207496	TOI-1099	https://exoplanetarchive.ipac.caltech.edu/overview/HD207496	field	260-780	520		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1099	Barros+2023	1	0	Barros+2023		1					https://exofop.ipac.caltech.edu/tess/target.php?id=HD207496&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-2046	TOI-2046	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2046	field	100-400	250		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2046	Kabath+2022	1	0	Kabath+2022		1					https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2046&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
			field		>700	gyro+Li		Zak+2025								Zak+2025																						
Qatar-4			field	350–500	425	Zak+2025		Alsubai+2017																														
HD235088	TOI-1430	https://exoplanetarchive.ipac.caltech.edu/overview/HD235088	field	550-850	700	gyro, X-ray, kinematics	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1430	Orell-Miquel+2023	1	0	Nardiello+2025	HARPS-N, HIRES, and APF	1	Zhang+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=HD235088&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-1136	TOI-1136	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1136	field	550-850	700		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1136	Dai+2023	6	1	Beard+2024		5	Orell-Miquel+2024	Dai+2023	Dai+2023	Keck/HIRES	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1136&json	Loading...	+64.8552755068621	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	0	Loading...	Loading...
															Beard+2024					Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
TOI-201	TOI-201	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-201	field	400-1200	800		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-201	Hobson+2021	1	0	Hobson+2021		1					https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-201&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0		−1.08 ± 0.31			Loading...	Loading...	Loading...	Loading...
TOI-5398	TOI-5398	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5398	field	500-800	650		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-5398	Mantovan+2024b	2	1	Mantovan+2024b		1	D'Arpa+2024		Mantovan+2024a		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-5398&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
KELT-20			field		600			Lund+2017	1	0						Lund+2017																						
WASP-178/KELT-26	TOI-1337							Hellier+2019						Damasceno+2024																								
	TOI-1337		Theia 449	120-680	430	iso		Rodriguez-Martinez+2019								Rodriguez-Martinez+2019																						
TOI-712	TOI-712	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-712	field	500-1100	800		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-712	Vach+2022	3	1								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-712&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
K2-25	TOI-5095	https://exoplanetarchive.ipac.caltech.edu/overview/K2-25	Hyades	580-720	650		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-5095	Mann+2016a	1	0	Stefansson+2023		1	Thao+2020		Gaidos+2020		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-25&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	1					Loading...	Loading...	Loading...	Loading...
											Steffanson+2025			Fernandez+2023		Steffanson+2025				Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
K2-136		https://exoplanetarchive.ipac.caltech.edu/overview/K2-136	Hyades	580-720	650		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-136	Mann+2018	3	1	Mayo+2023		1					https://exofop.ipac.caltech.edu/tess/target.php?id=K2-136&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	1					Loading...	Loading...	Loading...	Loading...
TOI-1201	TOI-1201	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1201	Hyades	580-720	650		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1201	Kossakowski+2021	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1201&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-4364	TOI-4364	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4364	Hyades	580-721	650.5		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-4364	Distler+2024										https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-4364&json		Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...		Loading...	Loading...
TOI-1801	TOI-1801	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1801	field	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1801	Mallorquin+2023	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1801&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
K2-95		https://exoplanetarchive.ipac.caltech.edu/overview/K2-95	Praesepe, NGC_2632	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-95	Castro-Gonzalez+2022	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=K2-95&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
K2-100	TOI-5071	https://exoplanetarchive.ipac.caltech.edu/overview/K2-100	Praesepe, NGC_2632	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-5071	Mann+2017	1	0	Baraggan+2019		1	King+2022		Gaidos+2020		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-100&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	1					Loading...	Loading...	Loading...	Loading...
														Orell-Miquel+2024						Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0								
K2-101		https://exoplanetarchive.ipac.caltech.edu/overview/K2-101	Praesepe, NGC_2632	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-101	Mann+2017	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=K2-101&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
K2-102		https://exoplanetarchive.ipac.caltech.edu/overview/K2-102	Praesepe, NGC_2632	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-102	Mann+2017	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=K2-102&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
EPIC211822797/K2-103		https://exoplanetarchive.ipac.caltech.edu/overview/EPIC211822797/K2-103	Praesepe, NGC_2632	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=EPIC211822797/K2-103	Mann+2017	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=EPIC211822797/K2-103&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
K2-104		https://exoplanetarchive.ipac.caltech.edu/overview/K2-104	Praesepe, NGC_2632	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-104	Mann+2017	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=K2-104&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
K2-264		https://exoplanetarchive.ipac.caltech.edu/overview/K2-264	Praesepe, NGC_2632	600-800	700		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-264	Livingston+2019	2	1								https://exofop.ipac.caltech.edu/tess/target.php?id=K2-264&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
K2-284		https://exoplanetarchive.ipac.caltech.edu/overview/K2-284	field? Cas-Tau	100-760	430		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-284	David+2018a	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=K2-284&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	1					Loading...	Loading...	Loading...	Loading...
K2-233		https://exoplanetarchive.ipac.caltech.edu/overview/K2-233	field	220-850	535		https://exofop.ipac.caltech.edu/tess/target.php?id=K2-233	David+2018a	3	1	Baraggan+2023		1					https://exofop.ipac.caltech.edu/tess/target.php?id=K2-233&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
Kepler-1915			NGC_6866																																			
Kepler-66			NGC_6811	950-1050		cluster	c.f. Sandquist+2016																															
Kepler-67			NGC_6811	950-1050		cluster	c.f. Sandquist+2016																															
Kepler-289				350-1100		isochrones?	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-289	Rowe+14, Schmidt+16	3	1					Greklek-McKeon+2023			https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-289&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1								
																																						
81	COUNTS		44						108	19	24		28	34	8															28						Loading...	Loading...	Loading...
	AVE		0.5432098765							0.23	0.30			0.42	0.10						Loading...	Loading...	Loading...		Loading...			Loading...		0.35						Loading...	Loading...	Loading...
K2-225				10		isochrones?		Thygesen+2023																														
WASP-25			field	100	100	isochrones?																																
Kepler-51											Masuda+2024			Lilly-Roberts+2025																								
TOI-2015				1000-1200											Jones+2023																							
TOI-4515				1200							Carleo+2024																											
Kepler-66				1431+675−364		gyro		Bouma+2024b																														
Kepler-67				878+108−121		gyro		Bouma+2024b																														
CoRoT-20				100?				Raetz+2021																														
	TOI 6109 	https://exoplanetarchive.ipac.caltech.edu/overview/	Theia 133	55		cluster		Datillo in prep mentioned in Vach+24a																														
	TOI-2018	https://exoplanetarchive.ipac.caltech.edu/overview/		?				Dai+2023	1		Dai+2023				Orell-Miquel+2024										0.24				Tmag	Loading...								
TIC 455000299		https://exoplanetarchive.ipac.caltech.edu/overview/TIC455000299	eps Cha	5-10		cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TIC455000299	Ringham+2025	1	0						Ringham+2025		https://exofop.ipac.caltech.edu/tess/target.php?id=TIC 455000299&json	Loading...	Loading...	Loading...	Loading...	Loading...		Loading...			Loading...	Loading...	0								
TOI-1420	TOI-1420			?			https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1420							Vissapragada+2024															Kmag	Loading...								
K2-77	TOI-4544		field; interloper in Pleiades					Gaidos+2020																														
HS Psc		https://exoplanetarchive.ipac.caltech.edu/overview/HSPsc	AB Dor 	113-148		cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=HSPsc	Tran+2024	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=HS Psc&json	Loading...	Loading...	Loading...	Loading...	Loading...		Loading...			Loading...	Loading...	1	1.086±0.003				Loading...	Loading...	Loading...	Loading...
HD 114082		https://exoplanetarchive.ipac.caltech.edu/overview/HD114082	RV only				https://exofop.ipac.caltech.edu/tess/target.php?id=HD114082	Zakhozhai+2022																														
			NGC 2423 					Lovis & Mayor+2007																														
	BD-13 2130b		NGC 4349					Brucalissi+2017																														
	ngc2682sand978b		M67																																			
	ngc2682sand1194b																																					
	ngc2682sand1514b																																					
TIC 238395674		https://exoplanetarchive.ipac.caltech.edu/overview/TIC238395674					https://exofop.ipac.caltech.edu/tess/target.php?id=TIC238395674	Vach+2024a	2																													
TIC 150070085.01		https://exoplanetarchive.ipac.caltech.edu/overview/TIC150070085.01					https://exofop.ipac.caltech.edu/tess/target.php?id=TIC150070085.01	Vach+2024a																														
TIC 36332984		https://exoplanetarchive.ipac.caltech.edu/overview/TIC36332984					https://exofop.ipac.caltech.edu/tess/target.php?id=TIC36332984	Vach+2024a																														
TIC 89071445		https://exoplanetarchive.ipac.caltech.edu/overview/TIC89071445	phi Lup; proposed with LCO-1m	9-18		cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TIC89071445	Vach+2025																														
TOI-811_BD	TOI-811	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-811_BD					https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-811	Carmichael+2020								Carmichael+2020																						